Service,Category,Endpoint,Method,Authorization,Request Body (Example),Response Body (Example)
MasterData Service,Designation,/api/designation/{id},DELETE,Bearer,None,"{""message"": ""Designation deleted successfully""}"
MasterData Service,Shift,/api/shift,GET,Bearer,?isActive=true,"[{""id"": ""guid"", ""code"": ""DAY"", ""name"": ""Day Shift"", ""startTime"": ""09:00:00"", ""endTime"": ""17:00:00"", ""isActive"": true}]"
MasterData Service,Shift,/api/shift,POST,Bearer,"{""code"": ""DAY"", ""name"": ""Day Shift"", ""startTime"": ""09:00:00"", ""endTime"": ""17:00:00"", ""isActive"": true}","{""id"": ""guid"", ""code"": ""DAY"", ""name"": ""Day Shift"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
MasterData Service,Shift,/api/shift/{id},PUT,Bearer,"{""id"": ""guid"", ""startTime"": ""08:30:00""}","{""id"": ""guid"", ""code"": ""DAY"", ""name"": ""Day Shift"", ""startTime"": ""08:30:00"", ""updatedAt"": ""2026-01-13T11:30:00Z""}"
MasterData Service,Shift,/api/shift/{id},DELETE,Bearer,None,"{""message"": ""Shift deleted successfully""}"
MasterData Service,Week Off,/api/weekoff,GET,Bearer,?day=Saturday,"[{""id"": ""guid"", ""day"": ""Saturday"", ""effectiveFrom"": ""2024-01-01"", ""isActive"": true}]"
MasterData Service,Week Off,/api/weekoff,POST,Bearer,"{""day"": ""Saturday"", ""effectiveFrom"": ""2024-01-01"", ""isActive"": true}","{""id"": ""guid"", ""day"": ""Saturday"", ""effectiveFrom"": ""2024-01-01"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
MasterData Service,Week Off,/api/weekoff/{id},PUT,Bearer,"{""id"": ""guid"", ""day"": ""Sunday""}","{""id"": ""guid"", ""day"": ""Sunday"", ""effectiveFrom"": ""2024-01-01"", ""updatedAt"": ""2026-01-13T11:30:00Z""}"
MasterData Service,Week Off,/api/weekoff/{id},DELETE,Bearer,None,"{""message"": ""Week Off deleted successfully""}"
,,,,,,
Employee Service,Passport,/api/passport/{employeeId},GET,Bearer,?onlyValid=true,"[{""id"": ""guid"", ""employeeId"": ""guid"", ""passportNumber"": ""F123456789"", ""countryOfIssue"": ""USA"", ""issueDate"": ""2020-01-15"", ""expiryDate"": ""2030-01-15"", ""placeOfIssue"": ""New York""}]"
Employee Service,Passport,/api/passport,POST,Bearer,"{""employeeId"": ""guid"", ""passportNumber"": ""F123456789"", ""countryOfIssue"": ""USA"", ""issueDate"": ""2020-01-15"", ""expiryDate"": ""2030-01-15"", ""placeOfIssue"": ""New York""}","{""id"": ""guid"", ""employeeId"": ""guid"", ""passportNumber"": ""F123456789"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
Employee Service,Passport,/api/passport/{id},PUT,Bearer,"{""id"": ""guid"", ""passportNumber"": ""F987654321"", ""expiryDate"": ""2031-01-15""}","{""id"": ""guid"", ""passportNumber"": ""F987654321"", ""updatedAt"": ""2026-01-13T11:30:00Z""}"
Employee Service,Passport,/api/passport/{id},DELETE,Bearer,None,"{""message"": ""Passport deleted successfully""}"
Employee Service,Visa,/api/visa/{employeeId},GET,Bearer,?onlyValid=true&country=USA,"[{""id"": ""guid"", ""employeeId"": ""guid"", ""visaNumber"": ""V123456"", ""visaType"": ""Work"", ""countryName"": ""USA"", ""issueDate"": ""2020-06-15"", ""expiryDate"": ""2025-06-15""}]"
Employee Service,Visa,/api/visa,POST,Bearer,"{""employeeId"": ""guid"", ""visaNumber"": ""V123456"", ""visaType"": ""Work"", ""countryName"": ""USA"", ""issueDate"": ""2020-06-15"", ""expiryDate"": ""2025-06-15""}","{""id"": ""guid"", ""employeeId"": ""guid"", ""visaNumber"": ""V123456"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
Employee Service,Visa,/api/visa/{id},PUT,Bearer,"{""id"": ""guid"", ""visaType"": ""Permanent"", ""expiryDate"": ""2026-06-15""}","{""id"": ""guid"", ""visaNumber"": ""V123456"", ""updatedAt"": ""2026-01-13T11:30:00Z""}"
Employee Service,Visa,/api/visa/{id},DELETE,Bearer,None,"{""message"": ""Visa deleted successfully""}"
Employee Service,Education,/api/education/{employeeId},GET,Bearer,None,"[{""id"": ""guid"", ""employeeId"": ""guid"", ""schoolName"": ""XYZ University"", ""degree"": ""Bachelor"", ""fieldOfStudy"": ""Computer Science"", ""startDate"": ""2015-06-01"", ""endDate"": ""2019-05-31"", ""score"": 3.8}]"
Employee Service,Education,/api/education,POST,Bearer,"{""employeeId"": ""guid"", ""schoolName"": ""XYZ University"", ""degree"": ""Bachelor"", ""fieldOfStudy"": ""Computer Science"", ""startDate"": ""2015-06-01"", ""endDate"": ""2019-05-31"", ""score"": 3.8}","{""id"": ""guid"", ""employeeId"": ""guid"", ""schoolName"": ""XYZ University"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
Employee Service,Education,/api/education/{id},PUT,Bearer,"{""id"": ""guid"", ""score"": 3.9}","{""id"": ""guid"", ""schoolName"": ""XYZ University"", ""score"": 3.9, ""updatedAt"": ""2026-01-13T11:30:00Z""}"
Employee Service,Education,/api/education/{id},DELETE,Bearer,None,"{""message"": ""Education record deleted successfully""}"
Employee Service,Certification,/api/certification/{employeeId},GET,Bearer,?onlyValid=true,"[{""id"": ""guid"", ""employeeId"": ""guid"", ""certificationName"": ""AWS Certified Solutions Architect"", ""issuingOrganization"": ""Amazon"", ""issueDate"": ""2020-01-15"", ""expiryDate"": ""2023-01-15"", ""credentialId"": ""CERT-123456""}]"
Employee Service,Certification,/api/certification,POST,Bearer,"{""employeeId"": ""guid"", ""certificationName"": ""AWS Certified Solutions Architect"", ""issuingOrganization"": ""Amazon"", ""issueDate"": ""2020-01-15"", ""expiryDate"": ""2023-01-15"", ""credentialId"": ""CERT-123456""}","{""id"": ""guid"", ""employeeId"": ""guid"", ""certificationName"": ""AWS Certified Solutions Architect"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
Employee Service,Certification,/api/certification/{id},PUT,Bearer,"{""id"": ""guid"", ""expiryDate"": ""2024-01-15""}","{""id"": ""guid"", ""certificationName"": ""AWS Certified Solutions Architect"", ""updatedAt"": ""2026-01-13T11:30:00Z""}"
Employee Service,Certification,/api/certification/{id},DELETE,Bearer,None,"{""message"": ""Certification deleted successfully""}"
Employee Service,Work Experience,/api/workexperience/{employeeId},GET,Bearer,None,"[{""id"": ""guid"", ""employeeId"": ""guid"", ""companyName"": ""Tech Corp"", ""jobTitle"": ""Senior Developer"", ""startDate"": ""2018-01-15"", ""endDate"": ""2022-12-31""}]"
Employee Service,Work Experience,/api/workexperience,POST,Bearer,"{""employeeId"": ""guid"", ""companyName"": ""Tech Corp"", ""jobTitle"": ""Senior Developer"", ""startDate"": ""2018-01-15"", ""endDate"": ""2022-12-31""}","{""id"": ""guid"", ""employeeId"": ""guid"", ""companyName"": ""Tech Corp"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
Employee Service,Work Experience,/api/workexperience/{id},PUT,Bearer,"{""id"": ""guid"", ""jobTitle"": ""Principal Developer""}","{""id"": ""guid"", ""jobTitle"": ""Principal Developer"", ""updatedAt"": ""2026-01-13T11:30:00Z""}"
Employee Service,Work Experience,/api/workexperience/{id},DELETE,Bearer,None,"{""message"": ""Work experience deleted successfully""}"
Employee Service,ID Proof,/api/idproof/{employeeId},GET,Bearer,?onlyValid=true&proofType=PAN,"[{""id"": ""guid"", ""employeeId"": ""guid"", ""proofType"": ""PAN"", ""proofNumber"": ""AAAXP5055K"", ""issuedDate"": ""2010-01-01""}]"
Employee Service,ID Proof,/api/idproof,POST,Bearer,"{""employeeId"": ""guid"", ""proofType"": ""PAN"", ""proofNumber"": ""AAAXP5055K"", ""issuedDate"": ""2010-01-01""}","{""id"": ""guid"", ""employeeId"": ""guid"", ""proofType"": ""PAN"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
Employee Service,ID Proof,/api/idproof/{id},PUT,Bearer,"{""id"": ""guid"", ""proofNumber"": ""AAAXP5055K-NEW""}","{""id"": ""guid"", ""proofNumber"": ""AAAXP5055K-NEW"", ""updatedAt"": ""2026-01-13T11:30:00Z""}"
Employee Service,ID Proof,/api/idproof/{id},DELETE,Bearer,None,"{""message"": ""ID Proof deleted successfully""}"
Employee Service,Nominee,/api/nominee/{employeeId},GET,Bearer,None,"[{""id"": ""guid"", ""employeeId"": ""guid"", ""nomineeName"": ""Jane Doe"", ""relationship"": ""Spouse"", ""dateOfBirth"": ""1992-05-20"", ""percentage"": 100, ""isPrimary"": true}]"
Employee Service,Nominee,/api/nominee,POST,Bearer,"{""employeeId"": ""guid"", ""nomineeName"": ""Jane Doe"", ""relationship"": ""Spouse"", ""dateOfBirth"": ""1992-05-20"", ""percentage"": 100, ""isPrimary"": true}","{""id"": ""guid"", ""employeeId"": ""guid"", ""nomineeName"": ""Jane Doe"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
Employee Service,Nominee,/api/nominee/{id},PUT,Bearer,"{""id"": ""guid"", ""percentage"": 75}","{""id"": ""guid"", ""nomineeName"": ""Jane Doe"", ""percentage"": 75, ""updatedAt"": ""2026-01-13T11:30:00Z""}"
Employee Service,Nominee,/api/nominee/{id},DELETE,Bearer,None,"{""message"": ""Nominee deleted successfully""}"
Employee Service,Bank Detail,/api/bankdetail/{employeeId},GET,Bearer,None,"[{""id"": ""guid"", ""employeeId"": ""guid"", ""bankName"": ""HDFC Bank"", ""bankAccountNumber"": ""1234567890123456"", ""ifscCode"": ""HDFC0000123"", ""bankBranch"": ""Bangalore"", ""isPrimary"": true}]"
Employee Service,Bank Detail,/api/bankdetail,POST,Bearer,"{""employeeId"": ""guid"", ""bankName"": ""HDFC Bank"", ""bankAccountNumber"": ""1234567890123456"", ""ifscCode"": ""HDFC0000123"", ""bankBranch"": ""Bangalore"", ""isPrimary"": true}","{""id"": ""guid"", ""employeeId"": ""guid"", ""bankName"": ""HDFC Bank"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
Employee Service,Bank Detail,/api/bankdetail/{id},PUT,Bearer,?isActive=true,"[{""id"": ""guid"", ""code"": ""ACME"", ""name"": ""ACME Corporation"", ""legalName"": ""ACME Corp Pvt Ltd"", ""registrationNumber"": ""CIN123456"", ""taxId"": ""GST123456"", ""address"": ""123 Business Park"", ""city"": ""Bangalore"", ""state"": ""Karnataka"", ""country"": ""India"", ""postalCode"": ""560001"", ""phone"": ""+91-80-12345678"", ""email"": ""info@acme.com"", ""website"": ""https://acme.com"", ""logo"": ""https://acme.com/logo.png"", ""isActive"": true}]"
Employee Service,Bank Detail,/api/bankdetail/{id},DELETE,Bearer,None,"{""id"": ""guid"", ""code"": ""ACME"", ""name"": ""ACME Corporation"", ""legalName"": ""ACME Corp Pvt Ltd"", ""registrationNumber"": ""CIN123456"", ""taxId"": ""GST123456"", ""address"": ""123 Business Park"", ""city"": ""Bangalore"", ""state"": ""Karnataka"", ""country"": ""India"", ""postalCode"": ""560001"", ""phone"": ""+91-80-12345678"", ""email"": ""info@acme.com"", ""website"": ""https://acme.com"", ""logo"": ""https://acme.com/logo.png"", ""isActive"": true}"
